"","CSA.FC12_VMT","CSA.FC3_VMT","CSA.FC4_VMT","CSA.FC56_VMT","CSA.EmpSer_SQ","CSA.ActEnt","CSA..Intercept."
"49",0.000130537699191297,-0.00384289213881762,-0.00016042536222838,-0.0010236145503996,-0.000433823428617567,-0.00514933498739886,-0.119242886277447
"50",0.000437298601429609,0.000716349315032728,0.00100370995704821,0.000819899695772033,-0.000191357732585184,0.00801400188964488,0.0882252433560058
"51",-0.000423115598557056,0.00233194855804902,-3.86674705713478e-05,-0.00192878592107154,0.000438963109597667,-0.0133521152087272,-0.194597383301419
"53",0.000465183263769021,-0.00784362322867448,-0.000780719532533685,-0.000146481980228835,-0.000466640227986203,-0.00368728694544592,-0.03460383509586
"54",-0.00013086354439644,-0.0058775977434615,0.000524390680255428,-0.00033257511135868,-0.000356216610545967,-0.000778278589745072,-0.0199201221664842
"55",-0.000116439168411346,-0.00164689077969722,0.000594504998505825,-6.61873796002189e-05,0.000430379261280413,-0.00371296845526244,-0.0293908291075069
"56",-8.3417310757297e-05,-0.00573599556228566,0.00593488135261617,-0.000605496339322341,-0.000237821874656279,-0.00646833329242052,-0.110061582897721
"104",0.000416537690394543,-0.000728971724469661,0.00145132111330829,7.8324306656489e-05,-0.00092935525652415,0.00467681696028806,0.00826035375208176
"106",0.00216080591656,0.0172310376591894,-0.00365884089001246,0.00387371752622089,0.00217562183157595,0.0109821669524253,0.274294066061862
"108",0.000111600884370543,0.00856032665566941,-0.00539759235248409,0.000419899656128424,-0.000279346948641595,-7.29534425541069e-05,0.0136593788820765
"118",-0.00042175322500266,-0.00167783392964395,-0.00229073762978844,9.49323121024168e-05,0.00069871874472032,-0.00651291899147368,-0.0811433298922926
"120",0.000805649287476357,0.000650587358033461,0.00989017564807016,0.00081690026915732,0.000118594177856349,0.010579984625025,0.137787890120815
"122",0.00811677724693754,0.0312486429356452,0.0408842272770974,2.24622427189449e-05,0.000194228106055829,0.00198761117548745,0.114842304384606
"140",0,-0.000864261747567706,-0.00108214122880246,-4.67314408801369e-07,-9.12676227394814e-05,0.00101115035300772,0.00923636033094376
"142",-0.000935815776670327,-0.00156387482921611,-0.00252026090058487,-0.00121840611015652,-0.00103560908513074,-0.00718258664440189,-0.190166139071502
"144",-9.90390204202541e-05,-0.00527021479993482,-0.00506886262634462,-0.00089390885879483,-0.000632988424820273,-0.00548563809972814,-0.119818686430212
