"","CSA.FC12_VMT","CSA.FC3_VMT","CSA.FC4_VMT","CSA.EmpOff_SQ","CSA.EmpInd_SQ","CSA.EmpSer_SQ","CSA.ActEnt","CSA..Intercept."
"148",0.0024493471574683,0.00214409743656296,0.0588924648811731,-0.00193202135882913,0.00413465887183798,0.00713835188288593,-0.0105804987039643,-0.116126773221617
"150",-0.00166544710559132,-0.00158625396179071,-0.0144614282578373,-0.00505584140452162,-0.0041450522894961,-0.0095549740574585,-0.00894597884005816,-0.105080342505793
"154",-2.34832534522563e-06,-0.00015050078400846,-0.00652687049783657,-0.00499753529864485,-0.00269453972567168,-0.00977890917517046,0.00127482558134358,0.155761378366627
"160",0.000425393758597754,0.00677776741369047,0.0343817851427269,0.0266007827153014,0.00391779882633468,0.0268843867218476,0.00988968464034239,0.0500575502471063
"162",0.0014813707579065,-0.00183827008083772,-0.0243600402743604,-0.000914409570538518,0.000882658662194534,0.011740403262677,0.00523814400299311,0.4278871643267
"164",0.000439594395968426,-0.000144350979329753,-0.00173317463207161,-0.000293158451115638,0.000370409782771954,-0.0005308353516831,0.000109829921932624,0.0581848049628589
"168",-0.000679507491906047,-0.00135758566246846,-0.0165710844734836,-0.00625117560303314,-0.00438906235709507,-0.0175216214212991,-0.00273225628236237,-0.199068417186305
"170",0.00283845646310924,-0.00221565516615108,0.050931235841166,-0.00158233378108548,0.00136994031998011,0.00669165415225717,-5.70012888215211e-05,-0.0135686888156005
"172",-0.00106601145084775,-0.000489183619384605,0.0346227197650127,0.0109329984469183,0.00976124773350737,0.0178254198179569,0.00842630494344301,-0.172353857243313
"174",0.000462020352059045,-0.00205847491159469,-0.0174853933041916,-0.00543929596246642,-0.00244812875300389,-0.0094476454457395,0.000866984177393306,0.0439966571094533
"176",-0.00436161679390893,0.00231483887234768,-0.0459729974445099,0.00284350797430219,-0.00465234949167903,-0.00521640400517347,0.003181394645875,-0.0720427055354474
"178",-0.0042313430381497,0.00143701437589084,-0.0078679608645552,0.00122503776264545,-0.000453374569918166,0.00271981131876417,-0.00262670078377733,-0.0600676755310731
"184",-0.00265861574239804,-0.00237709360574855,-0.0212262913529465,-0.012243883962614,-0.00894050445197317,-0.0275635657962384,-0.0112191304501039,-0.350743656404265
"185",0,0.000490587833139558,-0.000906651389251331,-0.00060931308779722,0.000192198486178516,-0.00187276724318503,0.00313544200848353,0.215596259895472
"188",-6.06504482465082e-06,-0.000426850298517874,-0.000318637850239092,-0.000293382632628567,-0.000789161595667354,-0.00142299269920755,-0.00440802866331675,-0.17974685037521
