"","x"
"358",0.0668227038626079
"359",0.347753360410796
"360",0.25532123020742
"361",0.195939462095235
"362",0.481941577930749
"363",0.350221990384747
"364",0.167367794240169
"365",0.227612044688875
"366",0.317441867623136
"367",0.157480222622437
"368",0.316452849924901
"369",0.360828563019345
"370",0.730397713473784
"371",0.43970827437909
"372",0.564444300810479
"373",0.456206993873613
"374",0.469103223208025
"375",0.94927614347223
"376",0.246445407663531
"377",0.349721389278902
"378",0.281373227362097
"379",0.276035359084887
"380",0.74019406024826
"381",0.380656548875174
"382",0.534766928147355
"383",0.669649773152418
"384",0.717782551335976
"385",0.606018693359849
"386",0.674498964823237
"387",0.416559995408715
"388",0.390914414598601
"389",0.508095727364754
"390",0.687733150536257
"391",0.693618314706232
"392",0.308276912211663
"393",0.89903160813153
"394",0.597540981609724
"395",0.923189180684517
"396",0.539197232094287
"397",0.695420133613795
"398",0.414406298512817
"399",0.691514535351213
"400",0.469933995971815
"401",0.330440428569235
"402",0.322824779621985
"403",0.47265447106239
"404",0.392482614271776
"405",0.113170424451486
"406",0.600979744041028
"407",0.581610172013749
"408",0.552752406895303
"409",0.266710004387507
"410",0.16817987038667
"411",0.41165756144097
"412",0.510408922635162
"413",0.24777930437164
"414",0.344264307438264
"415",0.114409427853883
"416",0.259396889310966
"417",0.276316561501438
"418",0.391018172223523
"419",0.654631922833559
"420",0.583451147433051
"421",0.500923856394493
"422",0.454980075919544
"423",0.248511241818083
"424",0.370824042879956
"425",0.364046427699146
"426",0.718466367328791
"427",0.826844918393838
"428",0.438609463207332
"429",0.494941979498984
"430",0.279333837600804
"431",0.581327938796367
"432",0.384933357370143
"433",0.119905018147002
"434",0.405604543955676
"435",0.582336088049402
"436",0.731668207289641
"437",0.53670637886827
"438",0.391715609441365
"439",0.329790465624309
"440",0.424992282917302
"441",0.978104494229473
"442",0.220394525688041
"443",0.660587664296071
"444",0.0807708917828384
"445",0.357343386047593
"446",0.663563841480029
"447",0.366761557752777
"448",0.30772736737348
"449",0.0678435469688271
"450",0.392303742543788
"451",0.63913790943343
"452",0.621644817989648
"453",0.567495198532763
"454",0.268721894670351
"455",0.508187076264091
"456",0.223482737092946
"457",1.07199089607095
"458",0.307876050269817
"459",0.237113114610169
"460",0.652292330575271
"461",0.299306019367927
"462",0.372184667337568
"463",0.141095870817378
"464",0.318252320652451
"465",0.318064179033855
"466",0.490567477436774
"467",0.900163245979994
"468",0.815258824253528
"469",0.216717621583489
"470",0.126179818595814
"471",0.161473148034724
"472",0.107595972783563
"473",0.376618055156052
"474",0.15227147452541
"475",0.154792177468055
"476",0.315786416815848
"477",0.363849361219272
"478",0.700054548714113
"479",0.183185756186699
"480",0.0998127670779766
"481",0.460322927689299
"482",0.0878440657102974
"483",0.271167321600041
"484",0.12013369486777
"485",0.0659175120679832
"486",0.197592392416156
"487",0.0730580407423522
"488",0.292985916494622
"489",0.114165276103068
"490",0.31750220947308
"491",0.29251013384674
"492",0.11541180036965
"493",0.400794920737326
"494",0.378247772322478
"495",0.344284543528119
"496",0.354634127132441
"497",0.30673780822017
"498",0.350012152601493
"499",0.564781390566375
"500",0.640214754006202
"501",0.514213957533251
"502",0.17444934719268
"503",0.192101183854882
"504",0.301133271080098
"505",0.387623313564252
"506",0.153533070835677
"507",0.265054401248551
"508",0.378168701801775
"509",0.228087654882254
"510",0.206308231454592
"511",0.836153029378992
"512",0.297033259024128
"513",0.467521563605946
"514",0.537289205584526
"515",0.269158641833178
"516",0.433833902191637
"517",0.494167706683031
"518",0.351796203276199
"519",0.635881632006288
"520",0.398994654048585
"521",0.364814546439761
"522",0.770538276869748
"523",0.697380048686951
"524",0.367313661764408
"525",0.310735591879931
"526",0.333747695151803
"527",0.363591000732545
"528",0.703739951002531
"529",0.275382393134062
"530",0.0634331674914901
"531",0.0487156400704949
"532",0.0433290682756597
"533",0.436188311257213
"534",0.253205295749348
"535",0.466294361795091
"536",0.349671713264764
"537",0.58315770657573
"538",0.476391403816067
"539",1.60331082940853
"540",0.121693263892512
"541",0.919790760548439
"542",1.2005675953793
"543",0.333764325972164
"544",0.0139770355192032
"545",1.17927180122257
"546",0.774832666957204
"547",0.392742208767417
"548",0.300807635583886
"549",0.160664506312691
"550",0.187152362372732
"551",0.239582318783758
"552",0.0985366429280362
"553",0.367045686699458
"554",0.575479496359037
"555",3.12877340530075
"556",1.7097406495185
"557",0.417107586123733
"558",0.0290164249132734
"559",0.0652449668728242
"560",0.296736670679851
"561",0.258491527214946
"562",0.49403847458473
"563",1.01626786098362
"564",0.939075329236002
"565",0.692103923162901
"566",0.0795968178694865
"567",0.0239625129753075
"568",0.0933813542102353
"569",0.0334671418675962
"570",1.47275816429973
"571",0.341528830290094
"572",0.0845633841086539
"573",0.0158651271208517
"574",0.0307307988772688
"575",0.689189417271331
"576",0.221417018599478
"577",0.733099778589598
"578",0.158768010463156
"579",0.757165958053661
"580",0.136436436682276
"581",0.504367524892442
"582",0.238182082741807
"583",0.217392008503613
"584",0.105803692828387
"585",0.162348048936414
"586",0.044687564116968
"587",0.0539397485148613
"588",0.0808387146859505
"589",0.0141438646862994
"590",0.0426616055079963
"591",0.198794215335715
"592",0.0868772956426597
"593",0.256014751119792
"594",0.123533353521563
"595",0.296284227011209
"596",0.411187658090039
"597",0.323426030581762
"598",0.24586997862271
"599",0.155582899639536
"600",0.307410458514975
"601",0.608076077678985
"602",0.240249625569535
"603",0.293476213939301
"604",0.178584880025982
"605",0.251127379844525
"606",0.504404198530028
"607",0.349666947493502
"608",0.367605237169262
"609",0.285710523548557
"610",0.567625709204143
"611",0.325557478473554
"612",0.282501820941414
"613",0.505441982896461
"614",0.288598077801206
"615",0.526585086357094
"616",0.141156450412238
"617",0.32824149646515
"618",0.243112833112185
"619",0.145631393258132
"620",0.371575598757139
"621",0.160971682414422
"622",0.0596025674987551
"623",0.0502100107170456
"624",0.10686066411283
"625",0.0455370841917459
"626",0.0587839516714842
"627",0.0246043557709554
"628",0.0195478605342929
"629",0.050556695715911
"630",0.246274362331352
"631",0.15289215736128
"632",0.245534713344887
"633",0.45115953472617
"634",0.219568154466578
"635",0.390045755316595
"636",0.262505279335592
"637",0.15815275734995
"638",0.521081777080538
"639",1.02706318086869
"640",0.140194180744503
"641",0.282985798118018
"642",0.590822721476749
"643",0.199799933413542
"644",0.0560139212177583
"645",0.652406753487029
"646",0.219089234853699
"647",0.877399567018916
"648",0.238710186055245
"649",0.273942674463079
"650",0.233366986714603
"651",0.0288399177397408
"652",0.141855452232524
"653",0.207697729616137
"654",0.181792767384762
"655",0.368576784564269
"656",0.158953796215531
"657",0.312621050913696
"658",0.0674010794963033
"659",0.325755003278264
"660",0.282012405756965
"661",0.458949624419123
"662",0.407592997217686
"663",0.0628086863271178
"664",0.289951008032936
"665",0.107478825748557
"666",0.125554235227493
"667",0.155553505011926
"668",0.130993425086764
"669",0.0549544419271503
"670",0.121771310919676
